name	type	weaponSpeed	damageLower	damageUpper	elementalLower	elementalUpper	elementalSchool	weaponAllDamage	elementalAllDamage	strength	agility	attackPower	spellPower	meleeCrit	meleeHit	spellCrit	spellHit	weaponSkillSwords	weaponSkill2hSwords	weaponSkillMaces	weaponSkill2hMaces	weaponSkillAxes	weaponSkill2hAxes	weaponSkillDaggers	weaponSkillFists	weaponSkillStaves	weaponSkillPolearms	haste	armor	setBonus	proc	useEffect
None	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ancient Qiraji Ripper	1	2800	114	213	0	0	0	0	0	0	0	20	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brutality Blade	1	2500	90	168	0	0	0	0	0	9	9	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Widow's Remorse	1	1600	70	131	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Iblis, Blade of the Fallen Seraph	1	1600	70	131	0	0	0	0	0	0	0	26	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chromatically Tempered Sword	1	2600	106	198	0	0	0	0	0	14	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gressil, Dawn of Ruin	1	2700	138	257	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dal'Rend's Sacred Charge	1	2800	81	151	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Dal'Rend's Tribal Guardian	1	1800	52	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	1	0	0
High Warlord's Blade	1	2900	138	207	0	0	0	0	0	0	0	28	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Maladath, Runed Blade of the Black Flight	1	2200	86	162	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Hungering Cold	1	1500	76	143	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mirah's Song	1	1800	57	87	0	0	0	0	0	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sword of Zeal	1	2800	81	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0
Thrash Blade	1	2700	66	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0
Thunderfury, Blessed Blade of the Windseeker	1	1900	44	115	16	30	3	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0
Vis'kag the Bloodletter	1	2600	100	187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0
Anubisath Warhammer	2	1800	66	123	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
Empyrean Demolisher	2	2800	94	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0
Ironfoe	2	2400	73	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0
Sand Polished Hammer	2	2600	97	181	0	0	0	0	0	0	0	20	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Blessed Qiraji War Hammer	2	2100	89	166	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0
The Castigator	2	2600	119	221	0	0	0	0	0	0	0	16	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Misplaced Servo Arm	2	2800	128	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0
Annihilator	3	1700	49	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0
Axe of the Deep Woods	3	2700	78	146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0
Blessed Qiraji War Axe	3	2600	110	205	0	0	0	0	0	0	0	14	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Hatchet of Sundered Bone	3	2600	119	221	0	0	0	0	0	0	0	36	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bone Slicing Hatchet	3	1700	48	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crul'shorukh, Edge of Chaos	3	2300	101	188	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dawn's Edge	3	2100	53	100	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Frostbite	3	2700	80	150	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Serathil	3	1900	53	99	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0
Deathbringer	3	2900	114	213	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0
Doom's Edge	3	2300	83	154	0	0	0	0	0	9	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sickle of Unyielding Strength	3	2100	75	141	0	0	0	0	0	15	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Flurry Axe	3	1500	37	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0
High Warlord's Cleaver	3	2900	138	207	0	0	0	0	0	0	0	28	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Iceblade Hacker	3	2000	57	106	1	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zulian Hacker	3	2400	71	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
Ashkandi, Greatsword of the Brotherhood	4	3500	229	344	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bonereaver's Edge	4	3400	206	310	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Demonshear	4	3800	163	246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0
Obsidian Edged Blade	4	3400	176	264	0	0	0	0	0	42	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0
The Untamed Blade	4	3400	192	289	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0
Destiny	4	2600	112	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0
Earthshaker	5	3500	175	263	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Might of Menethil	5	3800	289	435	0	0	0	0	0	20	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Draconic Maul	5	3500	187	282	0	0	0	0	0	27	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Unstoppable Force	5	3800	175	292	0	0	0	0	0	19	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Herald of Woe	5	3400	199	300	0	0	0	0	0	31	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Malown's Slam	5	3800	158	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0
Sulfuras, Hand of Ragnaros	5	3700	223	372	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0
Arcanite Reaper	6	3800	153	256	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Treant's Bane	6	2700	128	193	0	0	0	0	0	25	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dreadforge Retaliator	6	3700	149	225	0	0	0	0	0	0	0	30	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dark Edge of Insanity	6	3500	242	364	0	0	0	0	0	35	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Severance	6	3600	235	354	0	0	0	0	0	43	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Drake Talon Cleaver	6	3400	199	300	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0
Draconic Avenger	6	3200	174	262	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
High Warlord's Battle Axe	6	3800	235	353	0	0	0	0	0	26	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nightfall	6	3500	187	282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0
Spinal Reaper	6	3400	203	305	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Core Hound Tooth	7	1600	57	107	0	0	0	0	0	0	0	20	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Kingsfall	7	1800	105	158	0	0	0	0	0	0	16	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Death's Sting	7	1800	95	144	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
Blessed Qiraji Pugio	7	1700	72	134	0	0	0	0	0	0	0	18	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dragonfang Blade	7	1800	69	130	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Felstriker	7	1700	54	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0
Heartseeker	7	1700	49	92	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Perdition's Blade	7	1800	73	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0
Eskhandar's Right Claw	8	1500	50	94	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0
Claw of the Frost Wyrm	8	1500	75	140	0	0	0	0	0	0	0	22	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Silithid Claw	8	1600	64	120	0	0	0	0	0	0	0	30	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Blackcrow	9	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bloodseeker	9	0	0	0	0	0	0	0	0	8	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crossbow of Imminent Doom	9	0	0	0	0	0	0	0	0	5	7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Larvae of the Great Worm	9	0	0	0	0	0	0	0	0	0	0	18	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
